vessel,stationid,stratum,latitude,longitude,priority
1,177-88,22,56.00002,-155.38,HIGH
1,180-89,22,56.04383,-155.1322,HIGH
1,182-125,232,57.65573,-154.967,HIGH
OEX,182-93,22,56.2196,-154.967,HIGH
OEX,182-88,122,55.99202,-154.9446,HIGH
1,183-123,232,57.56433,-154.8843,HIGH
1,183-78,420,55.5646,-154.8843,HIGH
1,184-119,35,57.3822,-154.8018,HIGH
OEX,184-94,22,56.26362,-154.8018,HIGH
OEX,185-96,22,56.3519,-154.719,HIGH
OEX,186-114,22,57.15582,-154.6363,HIGH
OEX,187-87,320,55.95745,-154.5537,HIGH
1,188-106,22,56.7964,-154.471,HIGH
1,188-107,22,56.84112,-154.471,HIGH
1,188-123,35,57.57983,-154.471,HIGH
OEX,188-97,22,56.39613,-154.471,HIGH
OEX,188-98,22,56.4404,-154.471,HIGH
OEX,188-100,22,56.51604,-154.4648,HIGH
1,189-132,232,57.97142,-154.3883,HIGH
1,189-126,121,57.68754,-154.3806,HIGH
OEX,190-89,122,56.04424,-154.3057,HIGH
1,191-95,122,56.30242,-154.223,HIGH
OEX,191-86,221,55.92773,-154.223,HIGH
OEX,191-86,320,55.90588,-154.223,HIGH
OEX,191-82,420,55.7382,-154.223,HIGH
1,192-94,122,56.26362,-154.1403,HIGH
1,192-85,420,55.86685,-154.1403,HIGH
1,193-139,20,58.3022,-154.0577,HIGH
1,193-93,122,56.2196,-154.0577,HIGH
1,194-140,20,58.34883,-153.9753,HIGH
1,194-131,121,57.9314,-153.9753,HIGH
OEX,194-109,22,56.9308,-153.9753,HIGH
OEX,194-89,134,56.04383,-153.967,HIGH
1,195-122,35,57.5187,-153.9003,HIGH
1,195-103,30,56.66253,-153.8928,HIGH
1,195-124,35,57.61,-153.8928,HIGH
1,195-94,134,56.26362,-153.8928,HIGH
1,196-133,121,58.02372,-153.81,HIGH
1,196-88,134,56.00002,-153.81,HIGH
OEX,196-94,134,56.2613,-153.81,HIGH
OEX,196-86,231,55.90286,-153.81,HIGH
OEX,196-102,31,56.618,-153.8097,HIGH
1,199-133,121,58.02372,-153.5673,HIGH
1,199-87,134,55.9653,-153.5638,HIGH
1,199-88,134,55.9997,-153.562,HIGH
1,200-90,330,56.09226,-153.4792,HIGH
OEX,200-103,130,56.66253,-153.4792,LOW
1,201-159,32,59.2467,-153.3968,HIGH
1,202-145,132,58.58282,-153.314,HIGH
OEX,202-101,31,56.56649,-153.314,HIGH
1,203-111,30,57.00535,-153.2313,HIGH
1,203-165,32,59.5352,-153.2313,HIGH
1,203-166,32,59.58352,-153.2313,HIGH
1,204-163,32,59.43872,-153.1488,HIGH
OEX,204-98,31,56.4404,-153.1488,HIGH
1,205-146,132,58.62983,-153.066,HIGH
OEX,205-112,30,57.06562,-153.066,HIGH
